46;29.70;26;0.00;0.00;0;60.00;293;
47;29.70;26;0.00;0.00;0;60.00;289;
48;30.00;26;0.00;0.00;0;60.00;293;
49;29.90;26;0.00;0.00;0;60.00;289;
50;29.70;26;0.00;0.00;0;60.00;291;
51;29.70;26;0.00;0.00;0;60.00;293;
52;29.70;26;0.00;0.00;0;60.00;293;
53;29.80;26;0.00;0.00;0;60.00;291;
54;29.70;26;0.00;0.00;0;60.00;293;
55;29.80;26;0.00;0.00;0;60.00;293;
56;29.70;26;0.00;0.00;0;60.00;292;
57;29.70;26;0.00;0.00;0;60.00;293;
58;29.80;26;0.00;0.00;0;60.00;289;
59;29.70;26;0.00;0.00;0;60.00;291;
60;29.80;26;0.00;0.00;0;60.00;290;
61;29.90;26;0.00;0.00;0;60.00;293;
62;29.70;26;0.00;0.00;0;60.00;294;
63;29.90;26;0.00;0.00;0;60.00;292;
64;29.80;26;0.00;0.00;0;60.00;293;
65;29.70;26;0.00;0.00;0;60.00;292;
66;29.80;26;0.00;0.00;0;60.00;294;
67;29.90;26;0.00;0.00;0;60.00;293;
68;30.00;26;0.00;0.00;0;60.00;293;
69;29.90;26;0.00;0.00;0;60.00;293;
70;29.90;26;0.00;0.00;0;60.00;293;
71;29.90;26;0.00;0.00;0;60.00;293;
72;29.70;26;0.00;0.00;0;60.00;294;
73;29.70;26;0.00;0.00;0;60.00;291;
74;29.90;26;0.00;0.00;0;60.00;293;
75;29.70;26;0.00;0.00;0;60.00;293;
76;29.80;26;0.00;0.00;0;60.00;293;
77;29.80;26;0.00;0.00;0;60.00;291;
78;29.70;26;0.00;0.00;0;60.00;294;
79;29.80;26;0.00;0.00;0;60.00;295;
80;29.80;26;0.00;0.00;0;60.00;292;
81;29.80;26;0.00;0.00;0;60.00;293;
82;29.90;26;0.00;0.00;0;60.00;293;
83;29.70;26;0.00;0.00;0;60.00;293;
84;29.70;26;0.00;0.00;0;60.00;289;
85;29.30;26;0.00;0.00;0;60.00;294;
86;29.50;26;0.00;0.00;0;60.00;294;
87;29.60;26;0.00;0.00;0;60.00;292;
88;29.70;26;0.00;0.00;0;60.00;291;
89;30.00;26;0.00;0.00;0;60.00;294;
90;29.90;26;0.00;0.00;0;60.00;293;
91;30.80;26;0.00;0.00;0;60.00;293;
92;30.90;26;0.00;0.00;0;60.00;293;
93;31.30;26;0.00;0.00;0;60.00;292;
94;32.00;26;0.00;0.00;0;60.00;294;
95;32.30;26;0.00;0.00;0;60.00;293;
96;33.00;26;0.00;0.00;0;60.00;293;
97;33.40;26;0.00;0.00;0;60.00;294;
98;34.10;26;0.00;0.00;0;60.00;291;
99;34.60;26;0.00;0.00;0;60.00;292;
100;34.90;26;0.00;0.00;0;60.00;291;
101;35.40;26;0.00;0.00;0;60.00;293;
102;36.00;26;0.00;0.00;0;60.00;293;
103;36.40;26;0.00;0.00;0;60.00;292;
104;37.10;26;0.00;0.00;0;60.00;294;
105;37.40;26;0.00;0.00;0;60.00;293;
106;38.10;26;0.00;0.00;0;60.00;293;
107;38.60;26;0.00;0.00;0;60.00;293;
108;39.20;26;0.00;0.00;0;60.00;290;
109;39.80;26;0.00;0.00;0;60.00;295;
110;39.80;26;0.00;0.00;0;60.00;294;
111;40.40;26;0.00;0.00;0;60.00;293;
112;40.60;26;0.00;0.00;0;60.00;291;
113;40.60;26;0.00;0.00;0;60.00;293;
114;40.50;26;0.00;0.00;0;60.00;293;
115;40.30;26;0.00;0.00;0;60.00;293;
116;40.70;26;0.00;0.00;0;60.00;294;
117;40.50;26;0.00;0.00;0;60.00;292;
118;40.80;26;0.00;0.00;0;60.00;293;
119;40.70;26;0.00;0.00;0;60.00;293;
120;40.70;26;0.00;0.00;0;60.00;294;
121;40.90;26;0.00;0.00;0;60.00;295;
122;40.70;26;0.00;0.00;0;60.00;293;
123;40.80;26;0.00;0.00;0;60.00;292;
124;40.80;26;0.00;0.00;0;60.00;293;
125;40.80;26;0.00;0.00;0;60.00;293;
126;40.70;26;0.00;0.00;0;60.00;293;
127;40.80;26;0.00;0.00;0;60.00;291;
128;40.90;26;0.00;0.00;0;60.00;293;
129;40.80;26;0.00;0.00;0;60.00;293;
130;41.10;26;0.00;0.00;0;60.00;293;
131;40.90;26;0.00;0.00;0;60.00;293;
132;41.00;26;0.00;0.00;0;60.00;293;
133;41.10;26;0.00;0.00;0;60.00;293;
134;40.90;26;0.00;0.00;0;60.00;292;
135;41.00;26;0.00;0.00;0;60.00;293;
136;41.00;26;0.00;0.00;0;60.00;294;
137;40.90;26;0.00;0.00;0;60.00;291;
138;41.20;26;0.00;0.00;0;60.00;293;
139;41.00;26;0.00;0.00;0;60.00;291;
140;41.10;26;0.00;0.00;0;60.00;293;
141;41.10;26;0.00;0.00;0;60.00;292;
142;41.20;26;0.00;0.00;0;60.00;291;
143;41.10;26;0.00;0.00;0;60.00;292;
144;41.10;26;0.00;0.00;0;60.00;293;
145;41.10;26;0.00;0.00;0;60.00;293;
146;41.40;26;0.00;0.00;0;60.00;293;
147;41.10;26;0.00;0.00;0;60.00;295;
148;41.20;26;0.00;0.00;0;60.00;292;
149;41.40;26;0.00;0.00;0;60.00;291;
150;41.20;26;0.00;0.00;0;60.00;294;
151;41.60;26;0.00;0.00;0;60.00;292;
152;41.50;26;0.00;0.00;0;60.00;294;
153;41.40;26;0.00;0.00;0;60.00;291;
154;41.40;26;0.00;0.00;0;60.00;293;
155;41.50;26;0.00;0.00;0;60.00;293;
156;41.50;26;0.00;0.00;0;60.00;293;
157;41.50;26;0.00;0.00;0;60.00;293;
