
Analise de TF iniciada
11;277;283;-1;
1011;283;283;-1;
2011;279;282;-1;
3011;279;282;-1;
4011;281;283;-1;
5011;275;280;-1;
6011;280;279;-1;
7011;278;283;-1;
8011;282;282;-1;
9011;278;282;-1;
10011;282;285;-1;
11011;286;283;-1;
12011;281;281;-1;
13011;275;282;-1;
14011;278;280;-1;
15011;279;294;-1;
16011;279;282;-1;
17011;278;283;-1;
18011;279;282;-1;
19011;279;273;-1;
20011;282;283;-1;
21011;285;281;-1;
22011;282;283;-1;
23011;280;283;-1;
24011;276;281;-1;
25011;279;284;-1;
26011;283;280;-1;
27011;279;285;-1;
28011;276;283;-1;
29011;282;282;-1;
30011;277;283;-1;
31011;282;282;-1;
32011;279;282;-1;
33011;277;279;-1;
34011;280;282;-1;
35011;283;283;-1;
36011;279;285;-1;
37011;282;284;-1;
38011;279;281;-1;
39011;280;290;-1;
40011;280;283;-1;
41011;281;283;-1;
42011;279;281;-1;
43011;282;280;-1;
44011;280;282;-1;
45011;278;282;-1;
46011;278;282;-1;
47011;278;282;-1;
48011;280;283;-1;
49011;277;281;-1;
50011;279;282;-1;
51011;279;280;-1;
52011;280;283;-1;
53011;282;283;-1;
54011;278;279;-1;
55011;277;282;-1;
56011;282;280;-1;
57011;281;281;-1;
58011;276;282;-1;
59011;277;283;-1;
60011;281;282;-1;
61011;279;282;-1;
62011;279;282;-1;
63011;278;282;-1;
64011;282;283;-1;
65011;279;281;-1;
66011;277;282;-1;
67011;281;278;-1;
68011;281;283;-1;
69011;279;283;-1;
70011;279;282;-1;
71011;277;281;-1;
72011;279;279;-1;
73011;277;282;-1;
74011;279;281;-1;
75011;282;278;-1;
76011;278;278;-1;
77011;282;281;-1;
78011;278;280;-1;
79011;276;281;-1;
80011;277;275;-1;
81011;280;282;-1;
82011;279;281;-1;
83011;276;281;-1;
84011;276;281;-1;
85011;279;281;-1;
86011;280;283;-1;
87011;281;282;-1;
88011;278;282;-1;
89011;281;280;-1;
90011;278;286;-1;
91011;277;278;-1;
92011;281;282;-1;
93011;280;283;-1;
94011;277;283;-1;
95011;279;282;-1;
96011;283;283;-1;
97011;277;281;-1;
98011;280;281;-1;
99011;278;283;-1;
100011;280;282;-1;
101011;279;283;-1;
102011;281;283;-1;
103011;277;281;-1;
104011;279;282;-1;
105011;278;281;-1;
106011;275;283;-1;
107011;280;284;-1;
108011;282;283;-1;
109011;281;285;-1;
110011;279;284;-1;
111011;280;285;-1;
112011;276;285;-1;
113011;278;290;-1;
114011;282;291;-1;
115011;279;289;-1;
116011;280;291;-1;
117011;278;286;-1;
118011;277;288;-1;
119011;275;286;-1;
120011;279;285;-1;
121011;278;285;-1;
122011;280;283;-1;
123011;283;282;-1;
124011;284;285;-1;
125011;284;283;-1;
126011;285;282;-1;
127011;291;282;-1;
128011;289;283;-1;
129011;293;283;-1;
130011;294;283;-1;
131011;296;282;-1;
132011;297;283;-1;
133011;301;282;-1;
134011;303;283;-1;
135011;305;284;-1;
136011;309;285;-1;
137011;312;286;-1;
138011;316;287;-1;
139011;322;284;-1;
140011;322;286;-1;
141011;322;284;-1;
142011;324;284;-1;
143011;327;283;-1;
144011;330;283;-1;
145011;335;277;-1;
146011;336;283;-1;
147011;336;283;-1;
148011;335;283;-1;
149011;344;278;-1;
150011;344;283;-1;
151011;347;282;-1;
152011;348;283;-1;
153011;349;283;-1;
154011;356;282;-1;
155011;357;279;-1;
156011;357;283;-1;
157011;362;281;-1;
158011;363;282;-1;
159011;363;286;-1;
160011;370;281;-1;
161011;370;283;-1;
162011;373;283;-1;
163011;369;283;-1;
164011;374;283;-1;
165011;374;288;-1;
166011;374;283;-1;
167011;377;282;-1;
168011;378;282;-1;
169011;379;283;-1;
170011;379;283;-1;
171011;382;284;-1;
172011;374;284;-1;
173011;378;283;-1;
174011;385;284;-1;
175011;387;283;-1;
176011;390;283;-1;
177011;387;282;-1;
178011;392;281;-1;
179011;392;282;-1;
180011;395;283;-1;
181011;396;280;-1;
182011;397;281;-1;
183011;399;281;-1;
184011;389;280;-1;
185011;399;281;-1;
186011;399;276;-1;
187011;399;281;-1;
188011;399;279;-1;
189011;399;280;-1;
190011;399;279;-1;
191011;402;281;-1;
192011;399;279;-1;
193011;399;284;-1;
194011;402;281;-1;
195011;404;279;-1;
196011;405;281;-1;
197011;405;279;-1;
198011;407;280;-1;
199011;408;280;-1;
200011;405;282;-1;
201011;408;282;-1;
202011;408;277;-1;
203011;409;278;-1;
204011;408;278;-1;
205011;409;281;-1;
206011;412;278;-1;
207011;410;279;-1;
208011;412;277;-1;
209011;412;280;-1;
210011;412;279;-1;
211011;413;281;-1;
212011;414;279;-1;
213011;416;277;-1;
214011;420;278;-1;
215011;415;271;-1;
216011;421;277;-1;
217011;418;284;-1;
218011;416;277;-1;
219011;416;281;-1;
220011;420;279;-1;
221011;420;277;-1;
222011;420;279;-1;
223011;418;281;-1;
224011;421;278;-1;
225011;420;278;-1;
226011;424;278;-1;
227011;420;280;-1;
228011;425;280;-1;
229011;423;277;-1;
230011;422;276;-1;
231011;424;278;-1;
232011;423;281;-1;
233011;425;273;-1;
234011;424;279;-1;
235011;418;279;-1;
236011;425;280;-1;
237011;424;274;-1;
238011;425;279;-1;
239011;425;275;-1;
240011;424;278;-1;
241011;425;279;-1;
242011;425;281;-1;
243011;425;276;-1;
244011;425;279;-1;
245011;424;277;-1;
246011;428;276;-1;
247011;425;279;-1;
248011;425;278;-1;
249011;425;270;-1;
250011;425;278;-1;
251011;425;282;-1;
252011;425;276;-1;
253011;427;277;-1;
254011;425;279;-1;
255011;426;277;-1;
256011;427;276;-1;
257011;420;277;-1;
258011;424;276;-1;
259011;427;282;-1;
260011;426;279;-1;
261011;429;279;-1;
262011;426;278;-1;
263011;426;278;-1;
264011;429;278;-1;
265011;429;279;-1;
266011;433;274;-1;
267011;428;278;-1;
268011;430;277;-1;
269011;429;278;-1;
270011;433;280;-1;
271011;430;278;-1;
272011;431;281;-1;
273011;431;279;-1;
274011;433;278;-1;
275011;431;279;-1;
276011;432;277;-1;
277011;433;280;-1;
278011;431;280;-1;
279011;433;281;-1;
280011;433;270;-1;
281011;434;279;-1;
282011;436;280;-1;
283011;434;280;-1;
284011;434;277;-1;
285011;433;278;-1;
286011;435;278;-1;
287011;434;278;-1;
288011;436;280;-1;
289011;433;277;-1;
290011;436;277;-1;
291011;436;277;-1;
292011;435;278;-1;
293011;437;276;-1;
294011;436;277;-1;
295011;434;282;-1;
296011;434;280;-1;
297011;438;275;-1;
298011;437;273;-1;
299011;439;278;-1;
300011;437;280;-1;
301011;437;278;-1;
302011;437;277;-1;
303011;438;278;-1;
304011;438;278;-1;
305011;437;277;-1;
306011;436;276;-1;
307011;437;275;-1;
308011;437;277;-1;
309011;438;279;-1;
310011;438;278;-1;
311011;437;279;-1;
312011;438;282;-1;
313011;438;279;-1;
314011;438;279;-1;
315011;438;282;-1;
316011;438;276;-1;
317011;439;278;-1;
318011;439;277;-1;
319011;437;278;-1;
320011;438;276;-1;
321011;441;276;-1;
322011;440;278;-1;
323011;440;270;-1;
324011;440;278;-1;
325011;441;277;-1;
326011;441;280;-1;
327011;439;273;-1;
328011;440;281;-1;
329011;439;279;-1;
330011;442;279;-1;
331011;438;278;-1;
332011;439;279;-1;
333011;433;280;-1;
334011;440;278;-1;
335011;440;278;-1;
336011;439;280;-1;
337011;438;275;-1;
338011;440;286;-1;
339011;439;278;-1;
340011;440;275;-1;
341011;440;278;-1;
342011;440;284;-1;
343011;440;276;-1;
344011;441;279;-1;
345011;440;277;-1;
346011;441;281;-1;
347011;440;277;-1;
348011;440;276;-1;
349011;439;278;-1;
350011;439;279;-1;
351011;441;280;-1;
352011;441;278;-1;
353011;438;278;-1;
354011;441;276;-1;
355011;439;279;-1;
356011;441;284;-1;
357011;442;277;-1;
358011;440;276;-1;
359011;438;277;-1;
360011;441;277;-1;
361011;441;276;1;
362011;441;278;1;
363011;441;278;1;
364011;446;277;1;
365011;447;275;1;
366011;450;276;1;
367011;454;273;1;
368011;456;278;1;
369011;462;276;1;
370011;465;276;1;
371011;471;278;1;
372011;475;277;1;
373011;478;278;1;
374011;492;278;1;
375011;487;276;1;
376011;488;278;1;
377011;498;278;1;
378011;499;276;1;
379011;502;276;1;
380011;504;276;1;
381011;509;274;1;
382011;517;278;1;
383011;520;276;1;
384011;525;274;1;
385011;529;276;1;
386011;530;277;1;
387011;538;278;1;
388011;541;276;1;
389011;541;278;1;
390011;554;277;1;
391011;554;278;1;
392011;559;279;1;
393011;565;271;1;
394011;570;276;1;
395011;573;281;1;
396011;577;277;1;
397011;606;276;1;
398011;606;278;1;
399011;606;277;1;
400011;606;276;1;
401011;610;276;1;
402011;615;277;1;
403011;609;278;1;
404011;625;278;1;
405011;616;277;1;
406011;617;277;1;
407011;617;281;1;
408011;618;279;1;
409011;620;281;1;
410011;618;279;1;
411011;631;274;1;
412011;645;274;1;
413011;657;275;1;
414011;664;270;1;
415011;669;276;1;
416011;688;276;1;
417011;689;275;1;
418011;701;279;1;
419011;810;278;1;
420011;820;278;1;
421011;1082;270;1;
422011;1070;276;1;
423011;1042;277;1;
424011;998;276;1;
425011;863;283;1;
426011;795;277;1;
427011;786;275;1;
428011;773;280;1;
429011;766;277;1;
430011;762;278;1;
431011;761;276;1;
432011;761;278;1;
433011;760;278;1;
434011;757;275;1;
435011;757;270;1;
436011;754;276;1;
437011;750;276;1;
438011;749;276;1;
439011;744;278;1;
440011;736;277;1;
441011;736;277;1;
442011;736;277;1;
443011;732;277;1;
444011;730;278;1;
445011;732;277;1;
446011;728;277;1;
447011;706;275;1;
448011;686;276;1;
449011;685;275;1;
450011;782;275;1;
451011;885;274;1;
452011;866;282;1;
453011;880;277;1;
454011;892;278;1;
455011;930;274;1;
456011;921;272;1;
457011;916;276;1;
458011;904;276;1;
459011;909;278;1;
460011;883;277;1;
461011;877;277;1;
462011;875;278;1;
463011;873;277;1;
464011;866;276;1;
465011;866;277;1;
466011;870;273;1;
467011;872;278;1;
468011;873;277;1;
469011;871;277;1;
470011;874;282;1;
471011;872;277;1;
472011;866;270;1;
473011;865;277;1;
474011;865;278;1;
475011;854;277;1;
476011;849;277;1;
477011;841;281;1;
478011;826;277;1;
479011;817;275;1;
480011;813;274;1;
481011;809;275;1;
482011;801;274;1;
483011;795;276;1;
484011;757;278;1;
485011;747;276;1;
486011;737;275;1;
487011;736;276;1;
488011;725;275;1;
489011;720;276;1;
490011;712;276;1;
491011;710;276;1;
492011;707;276;1;
493011;705;277;1;
494011;701;275;1;
495011;699;278;1;
496011;700;275;1;
497011;698;275;1;
498011;698;277;1;
499011;698;274;1;
500011;698;275;1;
501011;697;278;1;
502011;696;275;1;
503011;696;275;1;
504011;697;277;1;
505011;697;276;1;
506011;697;274;1;
507011;697;274;1;
508011;698;275;1;
509011;697;276;1;
510011;698;274;1;
512011;698;278;1;
513011;698;277;1;
514011;701;273;1;
515011;697;273;1;
516011;698;279;1;
517011;701;275;1;
518011;699;277;1;
519011;699;276;1;
520011;702;273;1;
521011;700;278;1;
522011;701;275;1;
523011;701;279;1;
524011;702;277;1;
525011;701;278;1;
526011;704;275;1;
527011;699;277;1;
528011;706;275;1;
529011;702;276;1;
530011;705;279;1;
531011;705;275;1;
532011;705;275;1;
533011;706;277;1;
534011;706;278;1;
535011;702;274;1;
536011;706;280;1;
537011;706;273;1;
538011;706;277;1;
539011;704;278;1;
540011;705;274;1;
541011;705;277;1;
542011;706;274;1;
543011;705;279;1;
544011;706;273;1;
545011;702;277;1;
546011;707;278;1;
547011;708;274;1;
548011;708;277;1;
549011;707;275;1;
550011;709;271;1;
551011;709;276;1;
552011;710;279;1;
553011;710;274;1;
554011;710;276;1;
555011;710;277;1;
556011;710;275;1;
557011;710;276;1;
558011;710;276;1;
559011;711;276;1;
560011;710;276;1;
561011;710;275;1;
562011;710;275;1;
563011;710;276;1;
564011;710;276;1;
565011;711;278;1;
566011;710;278;1;
567011;710;277;1;
568011;711;286;1;
569011;711;278;1;
570011;712;277;1;
571011;717;278;1;
572011;710;276;1;
573011;711;272;1;
574011;711;278;1;
575011;712;279;1;
576011;712;282;1;
577011;712;277;1;
578011;711;274;1;
579011;713;278;1;
580011;712;276;1;
581011;714;276;1;
582011;719;277;1;
583011;719;284;1;
584011;720;278;1;
585011;722;275;1;
586011;720;279;1;
587011;721;282;0;
588011;719;276;0;
589011;720;279;0;
590011;715;280;0;
591011;712;275;0;
592011;711;281;0;
593011;709;277;0;
594011;707;276;0;
595011;702;280;0;
596011;699;276;0;
597011;696;277;0;
598011;690;275;0;
599011;686;278;0;
600011;684;279;0;
601011;681;280;0;
602011;673;280;0;
603011;671;274;0;
604011;671;279;0;
605011;667;277;0;
606011;660;278;0;
607011;658;279;0;
608011;643;276;0;
609011;653;279;0;
610011;649;276;0;
611011;645;277;0;
612011;639;277;0;
613011;636;276;0;
614011;632;275;0;
615011;631;273;0;
616011;628;273;0;
617011;622;275;0;
618011;611;273;0;
619011;614;277;0;
620011;610;275;0;
621011;609;277;0;
622011;606;273;0;
623011;605;277;0;
624011;603;277;0;
625011;598;274;0;
626011;597;263;0;
627011;593;274;0;
628011;583;276;0;
629011;592;275;0;
630011;588;276;0;
631011;586;273;0;
632011;584;273;0;
633011;581;273;0;
634011;580;275;0;
635011;578;276;0;
636011;580;275;0;
637011;575;274;0;
638011;573;275;0;
639011;572;276;0;
640011;568;276;0;
641011;568;276;0;
642011;568;273;0;
643011;567;275;0;
644011;568;273;0;
645011;560;275;0;
646011;563;274;0;
647011;559;276;0;
648011;559;274;0;
649011;558;283;0;
650011;555;276;0;
651011;555;276;0;
652011;555;270;0;
653011;555;276;0;
654011;554;275;0;
655011;552;274;0;
656011;541;274;0;
657011;551;276;0;
658011;541;274;0;
659011;541;273;0;
660011;541;274;0;
661011;541;274;0;
662011;541;285;0;
663011;541;273;0;
664011;540;276;0;
665011;541;276;0;
666011;538;273;0;
667011;537;272;0;
668011;537;275;0;
669011;533;275;0;
670011;537;276;0;
671011;532;275;0;
672011;530;274;0;
673011;534;273;0;
674011;533;271;0;
675011;532;286;0;
676011;529;274;0;
677011;530;274;0;
678011;529;274;0;
679011;529;273;0;
680011;529;274;0;
681011;529;274;0;
682011;530;273;0;
683011;527;276;0;
684011;528;273;0;
685011;528;270;0;
686011;527;273;0;
687011;526;273;0;
688011;528;269;0;
689011;525;273;0;
690011;526;271;0;
691011;523;271;0;
692011;525;276;0;
693011;526;275;0;
694011;526;273;0;
695011;521;273;0;
696011;524;273;0;
697011;521;273;0;
698011;521;269;0;
699011;521;277;0;
700011;524;274;1;
701011;521;275;1;
702011;521;278;1;
703011;525;274;1;
704011;521;273;1;
705011;527;276;1;
706011;528;274;1;
707011;530;275;1;
708011;533;275;1;
709011;536;273;1;
710011;540;274;1;
711011;541;273;1;
712011;552;271;1;
713011;553;275;1;
714011;556;277;1;
715011;560;274;1;
716011;565;274;1;
717011;567;273;1;
718011;569;275;1;
719011;576;273;1;
720011;581;273;1;
721011;583;276;1;
722011;590;273;1;
723011;591;272;1;
724011;593;283;1;
725011;601;275;1;
726011;602;273;1;
727011;606;271;1;
728011;606;278;1;
729011;610;272;1;
730011;618;266;1;
731011;618;270;1;
732011;624;274;1;
733011;625;273;1;
734011;631;273;1;
735011;632;274;1;
736011;636;274;1;
737011;639;274;1;
738011;643;278;1;
739011;644;274;1;
740011;646;273;1;
741011;649;272;1;
742011;651;273;1;
743011;654;272;1;
744011;657;273;1;
745011;658;271;1;
746011;656;276;1;
747011;660;271;1;
748011;660;275;1;
749011;663;274;1;
750011;666;272;1;
751011;670;276;1;
752011;676;273;1;
753011;674;271;1;
754011;676;273;1;
755011;677;272;1;
756011;679;272;1;
757011;673;274;1;
758011;682;273;1;
759011;683;274;1;
760011;683;272;1;
761011;684;274;1;
762011;694;273;1;
763011;685;274;1;
764011;687;273;1;
765011;691;273;1;
766011;689;278;1;
767011;691;274;1;
768011;692;271;1;
769011;695;275;1;
770011;694;274;1;
771011;697;274;1;
772011;698;272;1;
773011;698;275;1;
774011;698;275;1;
775011;699;274;1;
776011;702;269;1;
777011;702;273;1;
778011;702;271;1;
779011;707;273;1;
780011;707;274;1;
781011;708;276;1;
782011;707;276;1;
783011;709;273;1;
784011;709;271;1;
785011;710;274;1;
786011;710;273;1;
787011;710;273;1;
788011;710;274;1;
789011;710;277;1;
790011;710;273;1;
791011;712;274;1;
792011;711;276;1;
793011;712;274;1;
794011;711;272;1;
795011;714;274;1;
796011;714;275;1;
797011;717;273;1;
798011;717;275;1;
799011;715;273;1;
800011;719;276;1;
801011;720;274;1;
802011;723;272;1;
803011;723;274;1;
804011;727;274;1;
805011;723;273;1;
806011;725;271;1;
807011;728;273;1;
808011;726;273;1;
809011;727;272;1;
810011;724;271;1;
811011;723;274;1;
812011;720;275;1;
813011;719;274;1;
814011;712;273;1;
815011;719;272;1;
816011;718;275;1;
818011;715;273;1;
819011;715;275;1;
820011;715;275;1;
821011;717;273;1;
822011;719;273;1;
823011;715;275;1;
824011;714;275;1;
825011;715;270;1;
826011;715;272;1;
827011;721;272;1;
828011;713;275;1;
829011;714;274;1;
830011;715;273;1;
831011;714;273;1;
832011;711;274;1;
833011;713;275;1;
834011;718;274;1;
835011;719;274;1;
836011;711;274;1;
837011;713;273;1;
838011;714;276;1;
839011;714;275;1;
840011;711;273;1;
841011;713;273;1;
842011;712;276;1;
843011;717;273;1;
844011;712;271;1;
845011;714;274;1;
846011;713;273;1;
847011;715;273;1;
848011;711;273;1;
849011;712;274;1;
850011;715;273;1;
851011;712;271;1;
852011;715;273;1;
853011;712;271;1;
854011;714;273;1;
855011;711;272;1;
856011;712;273;1;
857011;715;273;1;
858011;713;273;1;
859011;712;275;1;
860011;714;273;1;
861011;712;272;1;
862011;715;275;1;
863011;714;272;1;
864011;712;277;1;
865011;711;274;1;
866011;728;273;1;
867011;712;277;1;
868011;714;275;1;
869011;711;274;1;
870011;715;273;1;
871011;718;274;1;
872011;712;273;1;
873011;715;273;1;
874011;715;274;1;
875011;718;273;1;
876011;718;272;1;
877011;718;272;1;
878011;718;273;1;
879011;715;273;1;
880011;715;271;1;
881011;717;273;1;
882011;717;271;1;
883011;718;273;1;
884011;719;274;1;
885011;720;273;1;
886011;717;273;1;
887011;720;272;1;
888011;719;272;1;
889011;719;274;1;
890011;720;273;1;
891011;720;271;1;
892011;722;274;1;
893011;723;273;1;
894011;723;272;1;
895011;719;273;1;
896011;728;273;1;
897011;722;274;1;
898011;721;273;1;
899011;722;275;1;
900011;722;273;1;
901011;723;274;1;
902011;723;273;1;
903011;719;273;1;
904011;722;272;1;
905011;720;271;1;
906011;722;272;1;
907011;722;275;1;
908011;726;273;1;
909011;721;275;1;
910011;722;273;1;
911011;723;272;1;
912011;723;273;1;
913011;723;273;1;
914011;724;272;1;
915011;725;273;1;
916011;722;274;1;
917011;722;275;1;
918011;724;273;1;
919011;724;273;1;
920011;725;271;1;
921011;724;273;1;
922011;724;273;1;
923011;736;274;1;
924011;722;274;1;
925011;725;275;1;
926011;724;273;0;
927011;728;273;0;
928011;730;273;0;
929011;727;275;0;
930011;727;270;0;
931011;725;273;0;
932011;725;273;0;
933011;724;271;0;
934011;725;273;0;
935011;723;271;0;
936011;722;271;0;
937011;721;272;0;
938011;721;273;0;
939011;719;271;0;
940011;718;274;0;
941011;716;272;0;
942011;715;275;0;
943011;714;273;0;
944011;710;273;0;
945011;710;275;0;
946011;710;273;0;
947011;708;274;0;
948011;706;274;0;
949011;702;275;0;
950011;702;274;0;
951011;698;273;0;
952011;695;273;0;
953011;694;275;0;
954011;691;271;0;
955011;686;275;0;
956011;685;271;0;
957011;683;272;0;
958011;680;273;0;
959011;680;273;0;
960011;672;271;0;
961011;669;270;0;
962011;669;273;0;
963011;669;275;0;
964011;663;284;0;
965011;659;274;0;
966011;660;273;0;
967011;654;273;0;
968011;654;276;0;
969011;640;275;0;
970011;645;273;0;
971011;643;274;0;
972011;640;275;0;
973011;639;272;0;
974011;634;272;0;
975011;634;275;0;
976011;632;275;0;
977011;631;273;0;
978011;629;272;0;
979011;627;270;0;
980011;625;271;0;
981011;623;277;0;
982011;628;270;0;
983011;620;275;0;
984011;615;273;0;
985011;617;273;0;
986011;613;275;0;
987011;610;273;0;
988011;609;272;0;
989011;606;272;0;
990011;606;271;0;
991011;605;272;0;
992011;601;272;0;
993011;602;272;0;
994011;598;283;0;
995011;602;273;0;
996011;596;276;0;
997011;596;275;0;
998011;593;272;0;
999011;593;273;0;
1000011;592;273;0;
1001011;590;271;0;
1002011;588;271;0;
1003011;586;274;0;
1004011;586;272;0;
1005011;583;275;0;
1006011;582;275;0;
1007011;581;272;0;
1008011;580;273;0;
1009011;580;273;0;
1010011;579;271;0;
1011011;577;274;0;
1012011;578;273;0;
1013011;572;273;0;
1014011;575;271;0;
1015011;577;272;0;
1016011;572;271;0;
1017011;568;273;0;
1018011;569;276;0;
1019011;567;271;0;
1020011;567;274;0;
1021011;563;273;0;
1022011;563;273;0;
1023011;563;276;0;
1024011;563;274;0;
1025011;559;269;0;
1026011;559;271;0;
1027011;555;276;0;
1028011;557;273;0;
1029011;558;274;0;
1030011;557;278;0;
1031011;555;272;0;
1032011;555;279;0;
1033011;555;273;0;
1034011;553;273;0;
1035011;554;273;0;
1036011;553;272;0;
1037011;551;276;0;
1038011;541;273;0;
1039011;541;273;0;
1040011;550;274;0;
1041011;541;274;0;
1042011;541;276;0;
1043011;540;273;0;
1044011;540;274;0;
1045011;540;273;0;
1046011;541;272;0;
1047011;540;273;0;
1048011;537;280;0;
1049011;537;272;0;
1050011;530;274;0;
1051011;534;274;0;
1052011;533;274;0;
1053011;534;272;0;
1054011;535;273;0;
1055011;534;273;0;
1056011;532;273;0;
1057011;530;274;0;
1058011;531;273;0;
1059011;530;273;0;
1060011;529;273;0;
1061011;530;273;0;
1062011;530;273;0;
1063011;530;272;0;
1064011;529;276;0;
1065011;529;273;0;
1066011;529;274;0;
1067011;529;273;0;
1068011;529;273;0;
1069011;522;273;0;
1070011;527;277;0;
1071011;527;275;0;
1072011;526;273;0;
1073011;529;272;0;
1074011;526;272;0;
1075011;525;273;0;
1076011;525;273;0;
